D3,30.898558764088516,13.258218596839242
D4,23.308249188784472,19.373851840660784
D5,15.37511139963458,19.375454614415332
D6,15.421034262537805,17.148195763608882
D7,15.443995693989418,11.82114366683469
D8,12.522008232533656,21.513894286517967
D9,8.922919585514762,24.4326996042534
D10,7.3813,25.6161
D11,0.6593524936423236,25.632647626924506
D12,0.5860614599179836,30.61643792017964
D13,0.5848625593376067,23.439745257479203
D14,0.6421766377633977,18.54036010887098
D15,0.7359790231854859,12.693359153225824
D16,1.4289083477478979,9.06887400522362
D17,-6.5498184554541155,25.61197691436331
D18,-9.97698647069296,23.993831757088984
D19,-12.99738648987353,17.361023880131977
D20,-18.541246516283493,17.264601579669627
D21,-21.327406360391194,17.142930682687314
D22,-13.739,12.2572
D23,-11.988170694991751,8.817631877749282
D24,29.727897648831785,12.297093402803085
D25,28.271644354351857,7.224276686904341
D26,27.449211251775573,5.297748806359985
D27,22.44379604473287,4.522311563768222
D28,17.93450164689289,3.6457568606269604
D29,14.254241459226229,2.790459998861878
D30,10.713111394970248,6.415238804793198
D31,8.16969564806761,1.0896598607895545
D32,1.1377788695084874,-0.7767094808467636
D33,1.1421,2.1166
D34,1.1421,4.2166
D35,-2.1726618490545313,2.1152210862057865
D36,-11.6597,1.34114
D37,-15.8642,0.779773
D38,-19.8919,0.397083
D39,-25.508,1.41166
D40,1.153519752823727,-2.4047387525201493
D41,-3.6,-2.0346
D42,-5.175681199978868,-4.211003049622782
D43,-10.3845400255922378,-6.27384899834156
D44,-12.70390528803008,-6.940900427874601
D45,-17.185612656274394,-8.673191021527046
D46,-21.1102168761385,-9.20147305690686
D47,-23.071903172403424,-8.673191021527046
D48,-18.2423052419353,-13.137584999999993
D49,-10.201534999998,-13.137509677413
D50,-16.639947923387096,-15.9490967737
D51,0.3425757361594366,-5.187682761739063
D52,-0.7844931220611668,-6.438266015381102
D53,27.49569828393276,-3.1831950604838575
D54,24.39862090620123,-3.736244592221631
D55,20.2671,-4.6084
D56,14.5421,-5.4834
D57,11.6171,-5.4834
D58,8.6421,-5.4834
D59,27.5884,-7.24
D60,22.458068755304534,-10.358523055508577
D61,17.009355768362813,-13.06768541651392
D62,16.93728420997821,-19.775429933857954
D63,12.136832277408782,-17.96577697388787
D64,7.802166149681324,-16.306253918054104
D65,2.6064062217376094,-14.086134508747392
D66,17.0671,-24.4084
D67,14.3421,-24.8084
D68,0.1421,-27.2834
D69,-4.191768127262417,-22.926228195335405
T2,D3,D4
T3,D3,D24
T4,D25,D26
T5,D26,D53
T6,D53,D71
T7,D59,D60
T8,D60,D61
T9,D61,D72
T10,D62,D74
T11,D66,D67
T12,D67,D75
T13,D68,D106
T14,D62,D63
T15,D63,D64
T16,D64,D73
T17,D26,D27
T18,D27,D28
T19,D28,D29
T20,D29,D79
T21,D29,D30
T22,D53,D54
T23,D54,D55
T24,D55,D77
T25,D56,D78
T26,D57,D58
T27,D31,D32
T28,D32,D40
T29,D40,D80
T30,D51,D52
T31,D32,D41
T32,D41,D42
T33,D42,D82
T34,D3,D70
T36,D48,D50
T37,D85,D49
T38,D43,D44
T39,D45,D105
T40,D46,D47
T41,D32,D33
T42,D33,D34
T44,D97,D16
T45,D14,D94
T46,D13,D93
T47,D11,D13
T48,D11,D12
T49,D10,D108
T50,D9,D10
T51,D8,D92
T52,D5,D8
T53,D5,D6
T54,D6,D7
T55,D4,D91
T56,D11,D98
T57,D17,D99
T58,D18,D100
T59,D19,D20
T60,D20,D21
T61,D19,D102
T62,D22,D104
T63,D33,D86
T64,D88,D38
T65,D37,D89
T66,D90,D37
T67,D88,D39
T68,D24,M7
T69,D25,M6
T70,D25,M86
T71,D71,M59
T72,D60,M31
T73,D72,M30
T74,D72,M49
T75,D63,M20
T76,D64,M77
T77,D109,M61
T78,D64,M47
T79,D65,M94
T80,D74,M53
T81,D67,M22
T82,D67,M84
T83,D76,M23
T84,D76,M21
T85,D106,M91
T86,D69,M52
T87,D69,M57
T88,D54,M29
T89,D54,M66
T90,D55,M28
T91,D56,M67
T92,D56,M60
T93,D57,M72
T94,D57,M38
T95,D58,M45
T96,D27,M87
T97,D28,M74
T98,D79,M39
T99,D79,M37
T100,D30,M64
T101,D31,M36
T102,D40,M85
T103,D51,M44
T104,D81,M46
T105,D81,M93
T106,D40,M70
T107,D82,M76
T108,D82,M65
T109,D43,M90
T110,D43,M24
T111,D44,M25
T112,D49,M26
T113,D85,M27
T114,D85,M68
T115,D48,M69
T116,D45,M58
T117,D44,M0
T118,D45,M8
T119,D46,M9
T120,D87,M78
T121,D47,M10
T122,D47,M11
T123,D34,M12
T124,D35,M83
T125,D35,M63
T126,D36,M1
T127,D87,M2
T128,D37,M3
T129,D38,M71
T130,D39,M40
T131,D39,M56
T132,D34,M13
T133,D30,M55
T134,D16,M15
T135,D16,M14
T136,D15,M95
T137,D107,M16
T138,D14,M73
T139,D95,M82
T140,D14,M18
T141,D108,M33
T142,D13,M32
T143,D9,M51
T144,D9,M54
T145,D8,M75
T146,D91,M50
T147,D6,M81
T148,D6,M5
T149,D7,M4
T150,D7,M48
T151,D12,M34
T152,D12,M35
T153,D17,M92
T154,D18,M89
T155,D101,M19
T156,D101,M79
T157,D22,M80
T158,D22,M62
T159,D23,M17
T160,D23,M88
T161,D21,M43
T162,D21,M41
T163,D103,M42
D70,29.004036464843743,9.025386445656176
T164,D70,D25
D71,27.546502508495383,-5.095507839782767
T165,D71,D59
D72,17.006660241081885,-15.250908670980746
D73,4.913321282164574,-15.067509380950824
T166,D72,D62
T167,D73,D65
D74,16.980365184244118,-21.973312143242715
D75,4.86767309229888,-26.4462154498244
D76,2.4526901370439376,-26.838650180053328
T168,D74,D66
T169,D75,D76
T170,D76,D68
D77,16.30280029504179,-5.486847992813464
D78,12.994872783335236,-5.486847992813464
T171,D77,D56
T172,D78,D57
D79,11.774030344355655,2.2135602060679087
T173,D79,D31
D80,1.1374438516369594,-4.0126187882606175
T174,D80,D51
D81,0.5330933785607446,-7.63985253707075
T175,D52,D81
D82,-6.643631642624868,-4.728392408428711
D83,-7.7209229600026,-5.068437965660685
D84,-14.773459759170134,-7.709329384495309
T176,D82,D83
T177,D83,D43
D85,-12.619552579728,-14.74018540139291
T179,D50,D85
D86,-0.6216351574125252,2.1253315229578673
D87,-18.7983,-2.98011
D88,-22.4093,0.0941332
T180,D86,D35
T181,D84,D87
T182,D87,D88
D89,-13.695744090607924,1.1464050471188987
D90,-17.7395,0.548133
T183,D89,D36
T184,D38,D90
D91,20.201115383044197,19.409886474213074
T185,D91,D5
D92,10.248091204980751,23.36149533266131
T186,D92,D9
D93,0.6408594089362634,20.271646241981315
D94,0.6730981864289323,16.62866438530976
D95,0.6730981864289323,15.597023505544366
D96,0.7053369639216012,14.500905070793634
D97,0.8020532963996079,10.761206881644073
T187,D93,D14
T188,D94,D95
T189,D95,D96
T190,D96,D15
T191,D15,D97
D98,-3.794512894577071,25.65039055122803
D99,-9.2519117032281,25.559936427327735
T192,D98,D17
T193,D99,D18
D100,-10.599196162223922,22.711588250778977
D101,-11.353110990738404,20.965707692677803
T194,D100,D101
T195,D101,D19
D102,-14.490339777567128,13.948729031112553
T196,D102,D22
D103,-24.446933372435126,17.05677593532129
T197,D21,D103
D104,-13.040690045627109,10.757541768828059
T198,D104,D23
T199,Q1,D3
T200,D44,D84
T201,D84,D45
D105,-19.0859,-9.39818
T202,D105,D48
T203,D105,D46
D106,-1.85828,-25.0701
T204,D106,D69
D107,-0.987795,11.6562
T205,D97,D107
D108,4.08628,25.6102
T206,D108,D11
D109,3.17026,-17.3849
T207,D73,D109
R0,4,0